URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,TLD_freq
46,21,0,35.15164429,1.0,0.5229071,0.052423143,3,0,0,0,0.0,33,0.717,0,0.0,0,0,0,5,0.109,1,0.4765905027502844
24,17,0,100.0,1.0,0.5229071,0.055296437,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
40,15,0,35.52911932,0.416666667,7.06e-05,0.049481437,2,2,0,0,0.0,23,0.575,3,0.075,0,0,0,6,0.15,1,0.00026519072345740265
18,9,0,87.40740741,1.0,0.0075051,0.04958078,4,0,0,0,0.0,8,0.444,0,0.0,0,0,0,2,0.111,1,0.006693927132432826
25,16,0,53.99816176,0.666666667,0.001502,0.034369691,3,1,0,0,0.0,13,0.52,1,0.04,0,0,0,3,0.12,1,0.02636936790507883
28,21,0,100.0,1.0,0.012178,0.063024172,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.008062653447051678
28,21,0,100.0,0.857142857,0.028555,0.057634896,2,2,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,0.027271871818780637
26,19,0,100.0,0.833333333,0.0019933,0.060275778,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,0.002626243616174923
48,16,0,30.09146341,0.666666667,0.0799628,0.055283219,3,0,0,0,0.0,35,0.729,0,0.0,0,0,0,5,0.104,1,0.07914659914283514
26,19,0,100.0,1.0,0.5229071,0.063703593,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
36,29,0,58.42647381,1.0,0.5229071,0.068776608,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,0.4765905027502844
26,20,0,58.90042291,0.538461538,0.0001306,0.05788069,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0,0.004255883384517994
21,14,0,100.0,0.571428571,0.0023239,0.044024304,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,0.001488489867148002
29,22,0,100.0,1.0,0.0799628,0.055066219,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.07914659914283514
38,19,0,59.40426639,1.0,0.5229071,0.062143067,3,0,0,0,0.0,28,0.737,0,0.0,0,0,0,3,0.079,0,0.4765905027502844
23,16,0,100.0,1.0,0.5229071,0.069251828,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
24,17,0,100.0,0.6,0.0082003,0.051501124,2,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,0.007382567559475436
24,16,0,62.86764706,1.0,0.5229071,0.051104694,3,0,0,0,0.0,15,0.625,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
32,25,0,100.0,1.0,0.5229071,0.058193554,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,0.4765905027502844
28,21,0,100.0,1.0,0.0075051,0.057083417,4,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.006693927132432826
30,11,0,47.81944444,1.0,0.5229071,0.058088968,3,0,0,0,0.0,21,0.7,0,0.0,0,0,0,2,0.067,0,0.4765905027502844
19,12,0,100.0,1.0,0.0799628,0.070184047,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.07914659914283514
21,14,0,100.0,1.0,0.0115013,0.060265766,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.007793185453861091
27,20,0,100.0,0.846153846,0.028555,0.060769206,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,0.027271871818780637
32,25,0,100.0,1.0,0.5229071,0.063427197,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,0.4765905027502844
68,23,0,16.02296728,0.733333333,0.0002861,0.045442781,3,1,0,0,0.0,41,0.603,6,0.088,1,0,0,8,0.132,1,0.00022669529585874745
17,10,0,100.0,1.0,0.0009815,0.066394304,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,0.000846899407170415
32,25,0,100.0,1.0,0.0799628,0.066731477,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,0.07914659914283514
18,11,0,100.0,1.0,0.5229071,0.080207157,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,0.4765905027502844
32,25,0,100.0,0.5,0.028555,0.054899235,2,2,0,0,0.0,17,0.531,0,0.0,0,0,0,3,0.094,1,0.027271871818780637
22,15,0,100.0,1.0,0.0799628,0.056264209,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.07914659914283514
41,35,0,57.5962539,1.0,0.5229071,0.06048552,3,1,0,0,0.0,29,0.707,0,0.0,0,0,0,1,0.024,0,0.4765905027502844
55,30,0,28.19903425,0.5,0.001502,0.053465948,3,1,0,0,0.0,40,0.727,0,0.0,0,0,0,7,0.127,1,0.02636936790507883
28,21,0,54.24836601,1.0,0.0384199,0.063710594,3,1,0,0,0.0,16,0.571,0,0.0,0,0,0,1,0.036,0,0.03032584240827395
26,19,0,100.0,1.0,0.5229071,0.047938897,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
31,25,0,58.6417535,0.647058824,0.5229071,0.061508132,3,2,0,0,0.0,18,0.581,0,0.0,0,0,0,2,0.065,0,0.4765905027502844
29,22,0,100.0,0.533333333,0.0230451,0.049316873,2,3,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,0.009478429728735553
23,16,0,100.0,1.0,0.5229071,0.063351969,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
29,22,0,100.0,1.0,0.0799628,0.064007081,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.07914659914283514
96,80,0,10.40051305,0.213333333,0.0003306,0.038641301,4,2,0,0,0.0,67,0.698,15,0.156,0,0,0,6,0.062,1,0.006257645619648066
21,14,0,100.0,1.0,0.5229071,0.067818115,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.4765905027502844
28,21,0,100.0,1.0,0.0799628,0.069258719,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.07914659914283514
23,16,0,100.0,1.0,0.5229071,0.065735389,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
22,15,0,100.0,0.571428571,0.0115013,0.044861485,3,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,0.007793185453861091
22,15,0,100.0,1.0,0.0005731,0.052811091,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.0007399676638408172
24,17,0,100.0,0.666666667,0.5229071,0.058117408,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,0.4765905027502844
23,16,0,100.0,1.0,0.0799628,0.052881487,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.07914659914283514
33,26,0,100.0,1.0,0.5229071,0.069847239,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,0.4765905027502844
27,20,0,100.0,1.0,0.5229071,0.056523884,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
20,13,0,100.0,1.0,0.0016589,0.063935297,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.002138634866591957
470,12,1,1.518132366,0.444444444,0.0,0.036118375,2,2,0,0,0.0,311,0.662,98,0.209,10,1,15,28,0.115,1,0.00011976355252914959
28,21,0,100.0,1.0,0.5229071,0.054111157,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
28,21,0,100.0,1.0,0.5229071,0.06656203,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
24,17,0,100.0,1.0,0.0115013,0.067138741,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.007793185453861091
25,18,0,100.0,1.0,0.5229071,0.061146085,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
21,14,0,100.0,1.0,0.0799628,0.068700444,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.07914659914283514
20,14,0,54.54545455,1.0,0.0002256,0.03525787,2,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,0.004752046673567329
23,16,0,50.64102564,0.5,1.12e-05,0.032452876,3,1,0,0,0.0,9,0.391,2,0.087,0,0,0,1,0.043,0,0.0004576678614506788
21,14,0,100.0,0.571428571,0.0100856,0.053658948,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,0.01270776837728941
82,20,0,19.54425809,0.6875,0.5229071,0.039390588,3,1,0,0,0.0,43,0.524,23,0.28,0,0,0,8,0.098,1,0.4765905027502844
25,18,0,100.0,1.0,0.5229071,0.069754249,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
22,15,0,100.0,1.0,0.0384199,0.063698507,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.03032584240827395
20,13,0,100.0,1.0,0.0115013,0.062021796,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.007793185453861091
80,7,0,9.962688145,1.0,0.0129268,0.029377281,2,0,0,0,0.0,63,0.787,6,0.075,0,0,0,3,0.037,1,0.01795597833990607
20,12,0,83.76068376,1.0,0.5229071,0.054028615,3,0,0,0,0.0,10,0.5,1,0.05,0,0,0,2,0.1,0,0.4765905027502844
24,17,0,100.0,1.0,0.5229071,0.063510249,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
86,7,0,10.46779684,1.0,0.0129268,0.036823363,2,0,0,0,0.0,61,0.709,12,0.14,0,0,0,5,0.058,1,0.01795597833990607
471,13,1,1.731122064,0.4,0.0,0.03463521,2,2,0,0,0.0,307,0.652,102,0.217,10,1,15,29,0.117,1,0.0001240408222623335
82,74,0,9.665449233,0.15942029,0.0003306,0.035668421,4,2,0,0,0.0,54,0.659,17,0.207,0,0,0,4,0.049,0,0.006257645619648066
22,15,0,100.0,0.625,0.0094423,0.046596411,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,0.007870176309058402
29,22,0,100.0,1.0,0.0384199,0.056402764,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.03032584240827395
27,18,0,76.47823262,0.538461538,0.0017656,0.045148236,4,1,0,0,0.0,16,0.593,0,0.0,0,0,0,3,0.111,1,0.0063046955867130895
20,13,0,100.0,0.666666667,0.0002005,0.055164977,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,0.00034645884838789705
48,30,0,28.36890244,0.592592593,0.0059772,0.048864511,2,2,0,0,0.0,33,0.688,2,0.042,0,0,0,5,0.104,1,0.02319135649332318
24,18,0,59.72789116,1.0,0.0001306,0.052561844,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0.004255883384517994
28,20,0,75.07142857,0.4375,0.5229071,0.062932267,3,0,0,0,0.0,17,0.607,0,0.0,0,0,0,4,0.143,0,0.4765905027502844
39,30,0,46.30824373,0.384615385,0.001502,0.055922904,3,1,0,0,0.0,25,0.641,0,0.0,0,0,0,6,0.154,1,0.02636936790507883
89,16,0,12.54344779,0.636363636,0.0002358,0.040084975,4,1,0,0,0.0,73,0.82,4,0.045,0,0,0,4,0.045,1,0.0010650401635627946
26,20,0,73.89705882,0.923076923,0.0180132,0.015069351,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,0.016292120413697528
42,36,0,40.01538826,0.535714286,0.5229071,0.051875773,3,3,0,0,0.0,27,0.643,1,0.024,0,0,0,3,0.071,0,0.4765905027502844
33,10,0,36.44307692,1.0,0.5229071,0.056602004,3,0,0,0,0.0,21,0.636,0,0.0,0,0,0,4,0.121,1,0.4765905027502844
26,19,0,100.0,1.0,0.0384199,0.052554771,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.03032584240827395
30,23,0,100.0,0.375,0.0129268,0.063165636,2,1,0,0,0.0,14,0.467,0,0.0,0,0,0,4,0.133,1,0.01795597833990607
36,28,0,38.52040816,0.75,0.5229071,0.051801255,3,1,0,0,0.0,26,0.722,0,0.0,0,0,0,2,0.056,1,0.4765905027502844
32,24,0,61.23611111,0.684210526,0.0017656,0.051080398,4,1,0,0,0.0,20,0.625,2,0.062,0,0,0,2,0.062,1,0.0063046955867130895
23,16,0,100.0,1.0,0.5229071,0.062297047,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
22,15,0,100.0,1.0,0.5229071,0.059725107,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.4765905027502844
23,16,0,66.45299145,1.0,5.27e-05,0.064490832,5,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0.000299408881322874
30,23,0,100.0,1.0,0.5229071,0.058306549,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
62,54,0,37.82516523,0.823529412,0.0059772,0.061156941,2,1,0,0,0.0,48,0.774,2,0.032,0,0,0,4,0.065,1,0.02319135649332318
21,14,0,100.0,0.714285714,0.0013543,0.06793246,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,0.0012104673344910477
28,21,0,100.0,1.0,0.5229071,0.064566348,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
26,19,0,100.0,0.5,0.028555,0.053503145,2,2,0,0,0.0,11,0.423,0,0.0,0,0,0,3,0.115,1,0.027271871818780637
39,31,0,43.45733611,0.666666667,0.001502,0.03652346,3,1,0,0,0.0,18,0.462,9,0.231,0,0,0,4,0.103,1,0.02636936790507883
21,14,0,100.0,1.0,0.5229071,0.065128115,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.4765905027502844
19,10,0,77.81818182,1.0,0.5229071,0.053902972,3,0,0,0,0.0,9,0.474,0,0.0,0,0,0,2,0.105,1,0.4765905027502844
28,21,0,100.0,1.0,0.0384199,0.068468699,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.03032584240827395
33,24,0,55.40277778,0.5,0.001502,0.052856089,3,1,0,0,0.0,21,0.636,1,0.03,0,0,0,3,0.091,1,0.02636936790507883
28,21,0,100.0,1.0,0.5229071,0.063884211,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
20,13,0,100.0,1.0,0.5229071,0.077462187,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.4765905027502844
28,22,0,56.26969124,0.444444444,0.5229071,0.06947559,3,0,0,0,0.0,18,0.643,0,0.0,0,0,0,3,0.107,0,0.4765905027502844
21,14,0,100.0,1.0,0.0004547,0.038134531,2,1,0,0,0.0,5,0.238,3,0.143,0,0,0,1,0.048,1,0.0006929176967757941
24,17,0,100.0,1.0,0.0040185,0.057473013,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.0030069206224282914
22,16,0,63.91184573,1.0,0.5229071,0.066185727,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,0.4765905027502844
40,23,0,46.45924485,0.842105263,0.001502,0.052133653,3,0,0,0,0.0,27,0.675,1,0.025,0,0,0,4,0.1,1,0.02636936790507883
20,13,0,100.0,1.0,0.0045585,0.042680779,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.004734937594634593
25,18,0,100.0,1.0,0.0230451,0.056108539,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.009478429728735553
23,16,0,100.0,1.0,0.5229071,0.066289336,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
23,16,0,100.0,1.0,0.5229071,0.064018149,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.4765905027502844
37,30,0,100.0,0.913043478,0.028555,0.05663496,2,2,0,0,0.0,23,0.622,0,0.0,0,0,0,2,0.054,1,0.027271871818780637
27,20,0,40.47619048,0.647058824,0.0180132,0.039846232,2,1,0,0,0.0,16,0.593,1,0.037,0,0,0,3,0.111,0,0.016292120413697528
29,22,0,100.0,1.0,0.5229071,0.06124686,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,0.4765905027502844
32,25,0,100.0,0.833333333,0.0100856,0.065044286,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,0.01270776837728941
35,28,0,100.0,1.0,0.0799628,0.06048473,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,0.07914659914283514
27,20,0,100.0,1.0,0.5229071,0.057407553,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
24,17,0,100.0,1.0,0.5229071,0.073225212,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,0.4765905027502844
19,13,0,65.18518519,0.8,0.0017496,0.039176958,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,2,0.105,0,0.006266200159114434
34,27,0,100.0,0.684210526,0.5229071,0.06096075,3,1,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,1,0.4765905027502844
25,18,0,100.0,0.6,0.5229071,0.0610359,3,1,0,0,0.0,11,0.44,1,0.04,0,0,0,1,0.04,1,0.4765905027502844
92,19,0,23.03087902,0.733333333,0.5229071,0.03797387,3,0,0,0,0.0,74,0.804,6,0.065,0,0,0,4,0.043,1,0.4765905027502844
38,29,0,55.29924693,0.68,0.5229071,0.044324838,3,1,0,0,0.0,20,0.526,6,0.158,0,0,0,4,0.105,1,0.4765905027502844
27,20,0,100.0,1.0,0.5229071,0.058985103,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
19,12,0,100.0,1.0,0.5229071,0.060179311,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.4765905027502844
27,20,0,100.0,1.0,0.5229071,0.06314558,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
25,18,0,100.0,1.0,0.012178,0.058058676,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.008062653447051678
25,18,0,100.0,1.0,0.5229071,0.059933669,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
30,23,0,100.0,0.466666667,0.5229071,0.055822642,3,1,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,1,0.4765905027502844
35,28,0,100.0,0.6,0.5229071,0.061833009,3,2,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,0.4765905027502844
44,38,0,35.40286703,0.566666667,0.5229071,0.03608269,3,2,0,0,0.0,17,0.386,12,0.273,0,0,0,4,0.091,0,0.4765905027502844
25,18,0,100.0,1.0,0.5229071,0.062226597,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
75,28,0,22.33401033,0.833333333,0.5229071,0.042426946,3,1,0,0,0.0,60,0.8,4,0.053,0,0,0,4,0.053,0,0.4765905027502844
29,22,0,100.0,0.533333333,0.0230451,0.048664348,2,3,0,0,0.0,14,0.483,0,0.0,0,0,0,3,0.103,1,0.009478429728735553
36,27,0,38.54595336,0.695652174,0.001502,0.049928722,3,1,0,0,0.0,24,0.667,0,0.0,0,0,0,4,0.111,1,0.02636936790507883
36,29,0,100.0,0.863636364,0.028555,0.056684492,2,2,0,0,0.0,22,0.611,0,0.0,0,0,0,2,0.056,1,0.027271871818780637
27,20,0,100.0,1.0,0.5229071,0.056766209,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,0.4765905027502844
35,28,0,100.0,1.0,0.0799628,0.058885474,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,0.07914659914283514
20,13,0,100.0,1.0,0.0001729,0.058095741,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.0001796453287937244
54,10,0,22.27003982,0.571428571,0.0012193,0.05386196,2,1,0,0,0.0,36,0.667,1,0.019,0,0,0,9,0.167,1,0.0013088445383542778
30,23,0,100.0,1.0,0.5229071,0.067870993,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
31,24,0,100.0,1.0,0.5229071,0.064093114,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
32,23,0,61.26388889,1.0,0.5229071,0.059169157,3,0,0,0,0.0,22,0.688,0,0.0,0,0,0,2,0.062,1,0.4765905027502844
19,13,0,69.13580247,1.0,0.0017496,0.040683362,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,0.006266200159114434
32,26,0,65.18145886,0.611111111,0.5229071,0.054622764,3,2,0,0,0.0,17,0.531,2,0.062,0,0,0,2,0.062,0,0.4765905027502844
21,14,0,100.0,1.0,0.0036307,0.058429773,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,0.002497925524179406
25,18,0,100.0,1.0,0.5229071,0.056247236,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
53,19,0,22.77616747,0.733333333,0.5229071,0.05666881,3,1,0,0,0.0,39,0.736,0,0.0,0,0,0,6,0.113,1,0.4765905027502844
33,24,0,69.81944444,0.6,0.5229071,0.059258468,3,1,0,0,0.0,22,0.667,0,0.0,0,0,0,3,0.091,1,0.4765905027502844
25,18,0,100.0,1.0,0.5229071,0.059095777,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
23,16,0,100.0,1.0,0.0799628,0.055574751,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.07914659914283514
130,18,0,9.87208928,1.0,0.5229071,0.047141464,3,0,0,0,0.0,106,0.815,2,0.015,4,1,0,9,0.108,1,0.4765905027502844
23,16,0,100.0,1.0,0.0049832,0.064706431,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,0.002395271050582992
30,23,0,100.0,1.0,0.5229071,0.065596006,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
30,23,0,100.0,1.0,0.5229071,0.058947691,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
31,22,0,84.40545809,1.0,0.5229071,0.065650616,3,1,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,1,0.4765905027502844
39,30,0,43.88530466,0.333333333,0.0059772,0.062766614,2,2,0,0,0.0,26,0.667,0,0.0,0,0,0,5,0.128,1,0.02319135649332318
35,28,0,100.0,1.0,0.0799628,0.055090794,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,0.07914659914283514
19,12,0,100.0,1.0,0.5229071,0.085418548,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.4765905027502844
45,38,0,41.30264934,0.696969697,0.0017656,0.049008199,4,1,0,0,0.0,29,0.644,6,0.133,0,0,0,3,0.067,0,0.0063046955867130895
40,32,0,33.37476326,0.392857143,0.001502,0.040987279,3,1,0,0,0.0,21,0.525,7,0.175,0,0,0,4,0.1,1,0.02636936790507883
25,18,0,100.0,1.0,0.5229071,0.06654755,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.053801066,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
47,38,0,54.8263371,0.542857143,0.0129268,0.062767244,2,1,0,0,0.0,35,0.745,0,0.0,0,0,0,4,0.085,1,0.01795597833990607
20,13,0,78.7654321,0.666666667,2.16e-05,0.054903137,2,2,0,0,0.0,7,0.35,0,0.0,0,0,0,2,0.1,0,5.5604506531390886e-05
64,16,0,23.40773288,1.0,0.0002052,0.060366564,3,0,0,0,0.0,51,0.797,0,0.0,0,0,0,6,0.094,0,0.0004191724338520236
41,26,0,36.57970075,0.409090909,0.5229071,0.044887212,3,1,0,0,0.0,27,0.659,0,0.0,0,0,0,6,0.146,1,0.4765905027502844
39,30,0,65.8781362,0.538461538,0.5229071,0.056904288,3,1,0,0,0.0,28,0.718,0,0.0,0,0,0,3,0.077,1,0.4765905027502844
28,21,0,100.0,1.0,0.0326503,0.053694019,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.01704919715647108
24,18,0,64.76190476,0.636363636,0.0001306,0.06762217,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,2,0.083,0,0.004255883384517994
129,74,0,6.64542926,0.275362319,0.0003306,0.032797381,4,2,0,0,0.0,94,0.729,17,0.132,0,0,0,10,0.078,1,0.006257645619648066
90,73,0,11.03830123,0.279411765,0.0003306,0.03673984,4,2,0,0,0.0,68,0.756,10,0.111,0,0,0,5,0.056,0,0.006257645619648066
38,31,0,44.3856555,0.434782609,0.5229071,0.052743332,3,3,0,0,0.0,24,0.632,0,0.0,0,0,0,3,0.079,0,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.057372395,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
24,18,0,70.7523246,1.0,0.5229071,0.063468017,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,0.4765905027502844
20,14,0,80.72727273,0.571428571,0.0004282,0.04649102,2,2,0,0,0.0,7,0.35,0,0.0,0,0,0,2,0.1,0,0.00047905421011659835
20,13,0,100.0,1.0,0.012178,0.060424193,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,0.008062653447051678
48,41,0,16.57760178,0.264705882,0.0003477,0.019396479,2,1,0,0,0.0,15,0.312,21,0.438,0,0,0,1,0.021,0,0.0015013216763475538
19,12,0,100.0,1.0,0.5229071,0.059259039,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.4765905027502844
25,17,0,57.13187236,0.769230769,0.001502,0.03734628,3,1,0,0,0.0,13,0.52,2,0.08,0,0,0,2,0.08,1,0.02636936790507883
67,18,0,18.54309327,0.8,0.5229071,0.055400318,3,1,0,0,0.0,46,0.687,0,0.0,0,0,0,9,0.134,1,0.4765905027502844
55,38,0,46.85000754,0.542857143,0.0129268,0.060493804,2,1,0,0,0.0,42,0.764,0,0.0,0,0,0,5,0.091,1,0.01795597833990607
23,17,0,54.52240068,0.888888889,0.5229071,0.033331031,3,2,0,0,0.0,8,0.348,2,0.087,0,0,0,2,0.087,0,0.4765905027502844
28,21,0,100.0,1.0,0.5229071,0.0613612,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,0.4765905027502844
25,18,0,100.0,0.818181818,0.0045585,0.054651287,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,0.004734937594634593
33,24,0,65.27777778,0.904761905,0.028555,0.05433948,2,1,0,0,0.0,22,0.667,0,0.0,0,0,0,3,0.091,1,0.027271871818780637
