URLLength,DomainLength,IsDomainIP,TLDLegitimateProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,TLD_freq
34,27,0,0.0326503,2,1,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,0.017049197156471
47,38,0,0.5229071,3,1,0,0,0.0,36,0.766,0,0.0,0,0,0,3,0.064,0.4765905027502844
25,18,0,0.0059772,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.0231913564933231
36,27,0,0.5229071,3,1,0,0,0.0,22,0.611,1,0.028,0,0,0,5,0.139,0.4765905027502844
34,27,0,0.028555,2,4,0,0,0.0,18,0.529,0,0.0,0,0,0,4,0.118,0.0272718718187806
21,15,0,0.5229071,3,2,0,0,0.0,8,0.381,0,0.0,0,0,0,2,0.095,0.4765905027502844
25,19,0,0.0017656,4,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0.006304695586713
19,12,0,0.0049832,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0023952710505829
41,25,0,0.5229071,3,1,0,0,0.0,29,0.707,0,0.0,0,0,0,4,0.098,0.4765905027502844
32,25,0,0.5229071,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.4765905027502844
21,14,0,0.5229071,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.4765905027502844
38,31,0,0.0101825,2,2,0,0,0.0,24,0.632,0,0.0,0,0,0,2,0.053,0.0068650179217601
26,19,0,0.0015878,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.0019889304259305
42,34,0,0.5229071,3,1,0,0,0.0,31,0.738,0,0.0,0,0,0,3,0.071,0.4765905027502844
41,34,0,0.5229071,3,1,0,0,0.0,27,0.659,0,0.0,0,0,0,2,0.049,0.4765905027502844
192,14,1,0.0,3,2,0,0,0.0,95,0.495,42,0.219,5,3,0,24,0.167,0.0001026544735964
25,18,0,0.5229071,3,1,0,0,0.0,10,0.4,2,0.08,0,0,0,1,0.04,0.4765905027502844
18,11,0,0.0180132,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,0.0162921204136975
33,27,0,0.0384199,3,2,0,0,0.0,20,0.606,0,0.0,0,0,0,2,0.061,0.0303258424082739
63,20,0,0.5229071,3,0,0,0,0.0,48,0.762,0,0.0,0,0,0,8,0.127,0.4765905027502844
15,9,0,0.0001777,2,1,0,0,0.0,3,0.2,0,0.0,0,0,0,1,0.067,0.0001839225985269
28,21,0,0.0001306,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,2,0.071,0.0042558833845179
27,20,0,0.0101825,2,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.0068650179217601
32,25,0,0.0059772,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,0.0231913564933231
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
41,34,0,0.5229071,3,1,0,0,0.0,28,0.683,0,0.0,0,0,0,1,0.024,0.4765905027502844
32,25,0,0.5229071,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.4765905027502844
32,14,0,0.5229071,3,0,0,0,0.0,19,0.594,1,0.031,0,0,0,4,0.125,0.4765905027502844
21,15,0,0.5229071,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0.4765905027502844
20,12,0,0.5229071,3,0,0,0,0.0,11,0.55,0,0.0,0,0,0,2,0.1,0.4765905027502844
54,28,0,0.0017496,3,1,0,0,0.0,30,0.556,10,0.185,0,0,0,7,0.13,0.0062662001591144
89,18,0,0.5229071,3,0,0,0,0.0,68,0.764,4,0.045,1,1,0,7,0.101,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
29,22,0,0.0799628,3,1,0,0,0.0,14,0.483,2,0.069,0,0,0,1,0.034,0.0791465991428351
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
22,15,0,0.0326503,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.017049197156471
22,15,0,0.0384199,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.0303258424082739
25,19,0,0.0008457,6,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0.0012703491107556
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
20,13,0,0.5229071,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.4765905027502844
43,18,0,0.012178,2,0,0,0,0.0,31,0.721,0,0.0,0,0,0,5,0.116,0.0080626534470516
32,25,0,0.5229071,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.4765905027502844
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
32,25,0,0.0799628,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.0791465991428351
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
21,14,0,0.0115013,3,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,0.007793185453861
21,14,0,0.5229071,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.4765905027502844
34,25,0,0.5229071,3,1,0,0,0.0,22,0.647,1,0.029,0,0,0,3,0.088,0.4765905027502844
70,13,0,0.0141483,2,1,0,0,0.0,39,0.557,15,0.214,0,0,0,5,0.071,0.0079428898945225
24,17,0,0.0180132,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,2,0.083,0.0162921204136975
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
82,74,0,0.0003306,4,2,0,0,0.0,59,0.72,12,0.146,0,0,0,3,0.037,0.006257645619648
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
25,19,0,0.0326503,2,1,0,0,0.0,11,0.44,0,0.0,0,0,0,3,0.12,0.017049197156471
22,15,0,0.0033282,3,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,0.0054364098308767
32,25,0,0.0326503,2,1,0,0,0.0,17,0.531,2,0.062,0,0,0,1,0.031,0.017049197156471
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
31,24,0,0.5229071,3,1,0,0,0.0,17,0.548,1,0.032,0,0,0,1,0.032,0.4765905027502844
20,13,0,0.0050842,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,0.0058940776923274
31,24,0,0.028555,2,2,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,0.0272718718187806
44,18,0,0.5229071,3,1,0,0,0.0,29,0.659,0,0.0,0,0,0,4,0.091,0.4765905027502844
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
22,15,0,0.0230451,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,0.0094784297287355
30,23,0,0.0799628,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.0791465991428351
27,20,0,0.028555,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0272718718187806
17,11,0,0.0384199,3,1,0,0,0.0,5,0.294,0,0.0,0,0,0,1,0.059,0.0303258424082739
26,19,0,0.012178,2,1,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,0.0080626534470516
25,19,0,0.0001194,3,2,0,0,0.0,12,0.48,0,0.0,0,0,0,2,0.08,0.0016125306894103
29,22,0,0.028555,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.0272718718187806
27,21,0,0.0384199,3,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0.0303258424082739
33,27,0,0.5229071,3,2,0,0,0.0,20,0.606,0,0.0,0,0,0,2,0.061,0.4765905027502844
53,44,0,0.5229071,3,1,0,0,0.0,31,0.585,8,0.151,0,0,0,6,0.113,0.4765905027502844
29,22,0,0.028555,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.0272718718187806
40,32,0,0.001502,3,1,0,0,0.0,22,0.55,6,0.15,0,0,0,4,0.1,0.0263693679050788
45,34,0,0.5229071,3,1,0,0,0.0,27,0.6,6,0.133,1,1,0,3,0.111,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
28,21,0,0.0799628,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.0791465991428351
23,16,0,0.0002752,3,1,0,0,0.0,7,0.304,3,0.13,0,0,0,1,0.043,0.0099189885112534
32,14,0,0.0180132,2,1,0,0,0.0,16,0.5,6,0.188,0,0,0,3,0.094,0.0162921204136975
33,25,0,0.5229071,3,1,0,0,0.0,20,0.606,2,0.061,0,0,0,3,0.091,0.4765905027502844
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
26,20,0,0.5229071,3,1,0,0,0.0,14,0.538,0,0.0,0,0,0,1,0.038,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
35,27,0,0.5229071,3,1,0,0,0.0,20,0.571,4,0.114,0,0,0,3,0.086,0.4765905027502844
62,52,0,0.0002752,3,3,0,0,0.0,45,0.726,0,0.0,0,0,0,6,0.097,0.0099189885112534
28,21,0,0.0799628,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.0791465991428351
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
30,24,0,0.5229071,3,2,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0.4765905027502844
21,14,0,0.0799628,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.0791465991428351
25,19,0,0.0326503,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,2,0.08,0.017049197156471
46,37,0,0.001502,3,1,0,0,0.0,29,0.63,3,0.065,0,0,0,6,0.13,0.0263693679050788
58,50,0,0.0059772,2,1,0,0,0.0,42,0.724,4,0.069,0,0,0,4,0.069,0.0231913564933231
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
63,53,0,0.0002752,3,5,0,0,0.0,46,0.73,0,0.0,0,0,0,6,0.095,0.0099189885112534
25,18,0,0.0100856,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,0.0127077683772894
24,17,0,0.0326503,2,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,0.017049197156471
30,23,0,0.028555,2,2,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0.0272718718187806
48,21,0,0.0141483,2,0,0,0,0.0,35,0.729,0,0.0,0,0,0,5,0.104,0.0079428898945225
38,29,0,0.5229071,3,1,0,0,0.0,20,0.526,6,0.158,0,0,0,4,0.105,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
46,37,0,0.5229071,3,1,0,0,0.0,32,0.696,0,0.0,0,0,0,6,0.13,0.4765905027502844
34,25,0,0.5229071,3,1,0,0,0.0,16,0.471,6,0.176,0,0,0,4,0.118,0.4765905027502844
30,23,0,0.0799628,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.0791465991428351
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
35,26,0,0.5229071,3,1,0,0,0.0,24,0.686,0,0.0,0,0,0,3,0.086,0.4765905027502844
17,10,0,0.0049832,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,0.0023952710505829
32,25,0,0.0007497,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,0.0009281675321009
28,21,0,0.0799628,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.0791465991428351
15,9,0,4.64e-05,2,1,0,0,0.0,3,0.2,0,0.0,0,0,0,1,0.067,0.0001154862827959
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
33,25,0,0.5229071,3,1,0,0,0.0,21,0.636,1,0.03,0,0,0,3,0.091,0.4765905027502844
81,40,0,0.0001858,2,1,0,0,0.0,60,0.741,6,0.074,1,1,0,5,0.086,0.0051455554890202
32,26,0,0.5229071,3,2,0,0,0.0,18,0.562,1,0.031,0,0,0,2,0.062,0.4765905027502844
33,26,0,0.0799628,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.0791465991428351
25,18,0,0.0075051,4,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.0066939271324328
24,17,0,0.0059772,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.0231913564933231
26,19,0,0.0100856,2,3,0,0,0.0,11,0.423,0,0.0,0,0,0,3,0.115,0.0127077683772894
26,18,0,0.0009613,3,1,0,0,0.0,15,0.577,1,0.038,0,0,0,2,0.077,0.0100301975243162
20,11,0,0.0004041,4,0,0,0,0.0,10,0.5,0,0.0,0,0,0,2,0.1,0.0017151851630067
47,40,0,0.0059772,2,2,0,0,0.0,34,0.723,0,0.0,0,0,0,5,0.106,0.0231913564933231
26,19,0,0.0033218,2,2,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0.0042430515753184
25,18,0,0.0008457,6,0,0,0,0.0,17,0.68,0,0.0,0,0,0,1,0.04,0.0012703491107556
29,20,0,0.001502,3,1,0,0,0.0,18,0.621,0,0.0,0,0,0,3,0.103,0.0263693679050788
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
39,31,0,0.0017656,4,1,0,0,0.0,15,0.385,12,0.308,0,0,0,4,0.103,0.006304695586713
27,20,0,0.0799628,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.0791465991428351
36,29,0,0.5229071,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
32,25,0,0.0799628,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.0791465991428351
27,18,0,0.001502,3,1,0,0,0.0,13,0.481,2,0.074,0,0,0,4,0.148,0.0263693679050788
23,16,0,0.0022733,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,0.0012617945712892
56,38,0,0.5229071,3,2,0,0,0.0,39,0.696,4,0.071,0,0,0,5,0.089,0.4765905027502844
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
34,27,0,0.5229071,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,0.4765905027502844
23,12,0,0.0023239,2,1,0,0,0.0,13,0.565,0,0.0,0,0,0,3,0.13,0.001488489867148
41,32,0,0.5229071,3,1,0,0,0.0,30,0.732,0,0.0,0,0,0,3,0.073,0.4765905027502844
32,26,0,0.5229071,3,2,0,0,0.0,19,0.594,0,0.0,0,0,0,2,0.062,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
21,14,0,0.0230451,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,0.0094784297287355
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
32,25,0,0.028555,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,0.0272718718187806
37,30,0,0.5229071,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,0.4765905027502844
32,24,0,0.001502,3,1,0,0,0.0,16,0.5,5,0.156,0,0,0,3,0.094,0.0263693679050788
47,15,0,0.0017496,3,1,0,0,0.0,27,0.574,8,0.17,0,0,0,5,0.106,0.0062662001591144
29,22,0,0.5229071,3,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.4765905027502844
26,20,0,0.0180132,2,2,0,0,0.0,8,0.308,5,0.192,0,0,0,2,0.077,0.0162921204136975
25,18,0,0.5229071,3,1,0,0,0.0,11,0.44,1,0.04,0,0,0,1,0.04,0.4765905027502844
40,33,0,0.5229071,3,1,0,0,0.0,27,0.675,0,0.0,0,0,0,1,0.025,0.4765905027502844
63,37,0,0.0027596,2,1,0,0,0.0,45,0.714,1,0.016,0,0,0,9,0.143,0.0013815581238184
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
23,17,0,0.5229071,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0.4765905027502844
96,23,0,0.0002818,7,2,0,0,0.0,73,0.76,10,0.104,0,0,0,5,0.052,0.0005474905258475
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
50,41,0,0.5229071,3,5,0,0,0.0,30,0.6,1,0.02,0,0,0,7,0.14,0.4765905027502844
38,10,0,0.0017218,2,1,0,0,0.0,16,0.421,5,0.132,0,0,0,6,0.158,0.002117248517926
24,18,0,0.0129268,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0.017955978339906
25,18,0,0.5229071,3,1,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
27,20,0,0.0018398,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0021728530244574
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
21,14,0,3.4e-06,4,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,8.554539466367827e-06
33,26,0,0.5229071,3,1,0,0,0.0,17,0.515,2,0.061,0,0,0,2,0.061,0.4765905027502844
25,18,0,0.0022733,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,0.0012617945712892
26,19,0,0.0141483,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.0079428898945225
26,19,0,0.0230451,2,3,0,0,0.0,11,0.423,0,0.0,0,0,0,3,0.115,0.0094784297287355
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
33,24,0,0.0059772,2,1,0,0,0.0,20,0.606,0,0.0,0,0,0,5,0.152,0.0231913564933231
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
20,13,0,0.0799628,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.0791465991428351
27,20,0,0.028555,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,0.0272718718187806
35,29,0,0.0180132,2,3,0,0,0.0,18,0.514,3,0.086,0,0,0,3,0.086,0.0162921204136975
23,17,0,0.0001306,2,1,0,0,0.0,9,0.391,0,0.0,0,0,0,3,0.13,0.0042558833845179
26,20,0,0.0180132,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0.0162921204136975
41,34,0,0.5229071,3,1,0,0,0.0,28,0.683,0,0.0,0,0,0,1,0.024,0.4765905027502844
30,23,0,0.028555,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,0.0272718718187806
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
22,15,0,0.0799628,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.0791465991428351
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
21,15,0,0.0001858,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,2,0.095,0.0051455554890202
32,26,0,0.5229071,3,2,0,0,0.0,19,0.594,0,0.0,0,0,0,2,0.062,0.4765905027502844
35,28,0,0.5229071,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,0.4765905027502844
36,30,0,0.5229071,3,1,0,0,0.0,24,0.667,0,0.0,0,0,0,1,0.028,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
22,15,0,0.0799628,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.0791465991428351
34,28,0,0.0082003,2,1,0,0,0.0,20,0.588,0,0.0,0,0,0,3,0.088,0.0073825675594754
19,13,0,0.0326503,2,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0.017049197156471
49,12,0,0.001502,3,1,0,0,0.0,24,0.49,13,0.265,0,0,0,4,0.082,0.0263693679050788
24,18,0,0.5229071,3,1,0,0,0.0,10,0.417,2,0.083,0,0,0,1,0.042,0.4765905027502844
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
56,47,0,0.0059772,2,2,0,0,0.0,19,0.339,21,0.375,0,0,0,8,0.143,0.0231913564933231
16,10,0,0.0001245,2,1,0,0,0.0,4,0.25,0,0.0,0,0,0,1,0.062,9.409993413004612e-05
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
34,25,0,0.5229071,3,1,0,0,0.0,20,0.588,3,0.088,0,0,0,3,0.088,0.4765905027502844
26,10,0,0.0075051,4,0,0,0,0.0,14,0.538,0,0.0,0,0,0,4,0.154,0.0066939271324328
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
48,18,0,0.0129268,2,1,0,0,0.0,33,0.688,1,0.021,0,0,0,6,0.125,0.017955978339906
22,16,0,0.0002256,2,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0.0047520466735673
73,38,0,0.0129268,2,1,0,0,0.0,58,0.795,0,0.0,1,1,0,5,0.096,0.017955978339906
24,17,0,0.0017218,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,0.002117248517926
21,14,0,0.0008316,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.0006373131902444
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
25,19,0,0.5229071,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0.4765905027502844
36,19,0,0.0069695,2,1,0,0,0.0,23,0.639,1,0.028,0,0,0,4,0.111,0.0057272641727332
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
22,13,0,0.5229071,3,0,0,0,0.0,11,0.5,0,0.0,0,0,0,3,0.136,0.4765905027502844
35,27,0,0.0033218,2,2,0,0,0.0,20,0.571,0,0.0,0,0,0,4,0.114,0.0042430515753184
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.4765905027502844
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
31,25,0,0.5229071,3,2,0,0,0.0,18,0.581,0,0.0,0,0,0,2,0.065,0.4765905027502844
45,36,0,0.5229071,3,1,0,0,0.0,31,0.689,3,0.067,0,0,0,3,0.067,0.4765905027502844
24,17,0,0.0799628,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.0791465991428351
32,25,0,0.0799628,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.0791465991428351
18,11,0,0.0799628,3,1,0,0,0.0,4,0.222,0,0.0,0,0,0,2,0.111,0.0791465991428351
20,13,0,0.0799628,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.0791465991428351
177,14,1,0.0,3,2,1,12,0.068,91,0.514,55,0.311,1,1,12,10,0.136,1.7109078932735655e-05
28,14,0,0.0017496,3,0,0,0,0.0,18,0.643,0,0.0,0,0,0,2,0.071,0.0062662001591144
49,41,0,0.0033218,2,3,0,0,0.0,32,0.653,0,0.0,0,0,0,6,0.122,0.0042430515753184
83,25,0,0.001502,3,2,0,0,0.0,36,0.434,27,0.325,2,1,0,9,0.145,0.0263693679050788
25,18,0,0.5229071,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0.4765905027502844
29,22,0,0.0384199,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.0303258424082739
37,29,0,0.0059772,2,2,0,0,0.0,26,0.703,0,0.0,0,0,0,3,0.081,0.0231913564933231
23,16,0,0.5229071,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.4765905027502844
38,31,0,0.0050842,2,2,0,0,0.0,24,0.632,0,0.0,0,0,0,2,0.053,0.0058940776923274
32,24,0,0.001502,3,1,0,0,0.0,22,0.688,0,0.0,0,0,0,2,0.062,0.0263693679050788
32,25,0,0.5229071,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,0.4765905027502844
18,11,0,0.0799628,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,0.0791465991428351
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
26,20,0,0.5229071,3,2,0,0,0.0,10,0.385,3,0.115,0,0,0,2,0.077,0.4765905027502844
19,12,0,0.0082003,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0073825675594754
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
